Y;surface;tourney_date;Opponents;O_hand;O_ht;O_age;O_rank
0;Hard;20160919;Alexander Zverev;R;198;19.4168377823;27
0;Hard;20161017;Stephane Robert;R;185;36.4188911704;52
0;Hard;20170102;Roberto Bautista Agut;R;183;28.720054757;14
0;Hard;20170116;Ernesto Escobedo;R;;20.5366187543;131
0;Hard;20170203;Novak Djokovic;R;188;29.6947296372;2
0;Hard;20170206;Jo-Wilfried Tsonga;R;188;31.8083504449;14
0;Hard;20170220;Lucas Pouille;R;185;22.9924709103;17
0;Hard;20170227;Philipp Kohlschreiber;R;178;33.3689253936;29
0;Hard;20170306;Mikhail Youzhny;R;183;34.6967830253;84
0;Clay;20170417;Feliciano Lopez;L;188;35.5728952772;39
0;Clay;20170424;Laslo Djere;R;188;21.8945927447;184
0;Clay;20170522;Gilles Simon;R;183;32.3997262149;32
0;Clay;20170529;Benjamin Bonzi;R;;20.9691991786;266
0;Grass;20170612;Ivo Karlovic;R;208;38.2861054073;24
0;Grass;20170619;Grigor Dimitrov;R;188;26.0944558522;11
0;Grass;20170626;Novak Djokovic;R;188;30.0971937029;4
0;Grass;20170703;Ruben Bemelmans;L;183;29.4674880219;124
0;Hard;20170731;Alexander Zverev;R;198;20.2792607803;8
0;Hard;20170807;Adrian Mannarino;L;183;29.106091718;42
0;Hard;20170814;Fabio Fognini;R;178;30.2258726899;25
0;Hard;20170821;Kyle Edmund;R;188;22.6173853525;45
0;Hard;20170828;Denis Shapovalov;L;185;18.3709787817;69
0;Hard;20170918;Thomas Fabbiano;R;;28.3148528405;70
0;Hard;20171002;Alexandr Dolgopolov;R;180;28.900752909;44
0;Hard;20171009;Lucas Pouille;R;185;23.6249144422;24
0;Hard;20171016;Mirza Basic;R;188;26.264202601;209
0;Hard;20171106;Hyeon Chung;R;188;21.4483230664;55
0;Hard;20171106;Borna Coric;R;188;20.9582477755;51
0;Hard;20180115;Hyeon Chung;R;188;21.659137577;58
0;Hard;20180205;Richard Gasquet;R;185;31.6358658453;33
0;Hard;20180212;Andreas Seppi;R;190;33.9767282683;81
0;Hard;20180305;Pablo Carreno Busta;R;188;26.6475017112;14
0;Hard;20180319;Alexander Zverev;R;198;20.9117043121;5
0;Clay;20180416;Kei Nishikori;R;178;28.295687885;36
0;Clay;20180430;Joao Sousa;R;185;29.0841889117;68
0;Clay;20180507;Kyle Edmund;R;188;23.3264887064;22
0;Clay;20180514;Robin Haase;R;190;31.1047227926;44
0;Clay;20180528;Lucas Pouille;R;185;24.257357974;16
0;Grass;20180611;Fernando Verdasco;L;188;34.5708418891;34
0;Grass;20180618;Jeremy Chardy;R;188;31.3456536619;61
0;Grass;20180625;Steve Johnson;R;188;28.501026694;42
0;Grass;20180702;Adrian Mannarino;L;183;30.006844627;26
0;Hard;20180730;Denis Shapovalov;L;185;19.2908966461;26
0;Hard;20180806;Alexander Zverev;R;198;21.2950034223;3
0;Hard;20180813;Borna Coric;R;188;21.7440109514;21
0;Hard;20180827;Borna Coric;R;188;21.7823408624;20
0;Hard;20180917;Dominic Thiem;R;185;25.0376454483;8
0;Hard;20181008;Roger Federer;R;185;37.1663244353;2
0;Hard;20181015;Karen Khachanov;R;198;22.4010951403;26
0;Hard;20181022;Roger Federer;R;185;37.2046543463;3
0;Hard;20181029;Borna Coric;R;188;21.954825462;13
0;Hard;20181231;Kei Nishikori;R;178;29.0047912389;9
0;Hard;20190114;Novak Djokovic;R;188;31.6495550992;1
0;Hard;20190211;Gael Monfils;R;193;32.4462696783;33
0;Hard;20190225;Ricardas Berankis;R;175;28.681724846;113
0;Hard;20190304;Filip Krajinovic;R;185;27.0143737166;113
0;Hard;20190318;Roger Federer;R;185;37.607118412;5
0;Clay;20190415;Dusan Lajovic;R;180;28.7912388775;48
0;Clay;20190422;Dominic Thiem;R;185;25.6317590691;5
0;Clay;20190506;Guido Pella;L;185;28.9691991786;26
0;Clay;20190513;Nick Kyrgios;R;193;24.0438056126;36
0;Clay;20190527;Pierre Hugues Herbert;R;188;28.1916495551;43
0;Grass;20190610;Lucas Pouille;R;185;25.2922655715;26
